brand,model,model_year,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,milage
TOYOTA,Avalon_Touring,2016,Gasoline,268.0HP_3.5L_V6_Cylinder_Engine_Gasoline_Fuel,A/T,Black,Black,None reported,Yes,15750,143469.4
PORSCHE,Cayenne_Platinum_Edition,2017,Gasoline,300.0HP_3.6L_V6_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,White,Black,None reported,Yes,27891,117551
MERCEDES-BENZ,AMG_C_63_S,2017,Gasoline,503.0HP_4.0L_8_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,47250,96560.4
HONDA,CR-V_EX-L,2016,Gasoline,2.4L_I4_16V_GDI_DOHC,Automatic CVT,Mountain Air Metallic,Black,At least 1 accident or damage reported,,18763.2,118365.3
HUMMER,H2_Base,2005,Gasoline,325.0HP_6.0L_8_Cylinder_Engine_Gasoline_Fuel,A/T,Gray,Black,None reported,Yes,17550,178475.8
PORSCHE,911_Carrera_S,2013,Gasoline,400.0HP_3.8L_Flat_6_Cylinder_Engine_Gasoline_Fuel,7-Speed A/T,Blue,Black,None reported,Yes,65700,62764.3
MERCEDES-BENZ,CLA-Class_CLA_250,2016,Gasoline,208.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,17820,193120.8
CHRYSLER,300_Touring,2009,Gasoline,250.0HP_3.5L_V6_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,6750,216620.4
NISSAN,Rogue_SV,2023,Gasoline,1.5L_I3_12V_GDI_DOHC_Turbo,Automatic CVT,Caspian Blue,Light Gray,None reported,,27899.1,1760.6
AUDI,A3_2.0T,2010,Gasoline,200.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,5850,134379.9
FORD,Mustang_GT_Premium,2014,Gasoline,420.0HP_5.0L_8_Cylinder_Engine_Gasoline_Fuel,6-Speed M/T,Black,Black,None reported,Yes,25650,59642.1
ACURA,RL_Technology,2010,Gasoline,300.0HP_3.7L_V6_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,9895.5,157232.5
VOLVO,XC90_Hybrid_T8_R-Design,2018,Plug-In Hybrid,400.0HP_2.0L_4_Cylinder_Engine_Plug-In_Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,37800,64373.6
AUDI,R8_5.2_V10,2018,Gasoline,5.2L_V10_40V_PDI_DOHC,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,None reported,,130410,14387.5
MERCEDES-BENZ,GLK-Class_GLK_350,2014,Gasoline,302.0HP_3.5L_V6_Cylinder_Engine_Gasoline_Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,9000,299337.2
TOYOTA,C-HR_LE,2021,Gasoline,2.0_Liter,CVT-F,–,–,None reported,,21598.2,21211.1
LEXUS,IS_350_Base,2014,Gasoline,306.0HP_3.5L_V6_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,Black,Black,None reported,Yes,18900,167371.4
BMW,X4_M40i,2023,Hybrid,382.0HP_3.0L_Straight_6_Cylinder_Engine_Gasoline/Mild_Electric_Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,61110,13679.4
BMW,M4_CS,2019,Gasoline,3.0_Liter_DOHC_Turbo,Automatic,Alpine White,Anthracite,None reported,,62998.2,30688.5
CADILLAC,CT5_Premium_Luxury,2023,Gasoline,237.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,A/T,White,Beige,None reported,Yes,42210,9800.9
LUCID,Air_Grand_Touring,2022,,536.0HP_Electric_Motor_Electric_Fuel_System,1-Speed A/T,Red,Black,None reported,Yes,89100,7885.8
AUDI,A5_2.0T_Premium_Plus,2019,Gasoline,248.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,27900,76480.7
CHRYSLER,300C_SRT8,2006,Gasoline,425.0HP_6.1L_8_Cylinder_Engine_Gasoline_Fuel,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,17995.5,69201.6
BENTLEY,Continental_GT_W12,2017,Gasoline,582.0HP_6.0L_12_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,White,White,None reported,Yes,117000,23631.5
BMW,M4_Base,2019,Gasoline,425.0HP_3.0L_Straight_6_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,50399.1,93019.9
TOYOTA,GR_Corolla_Circuit_Edition,2023,Gasoline,300.0HP_1.6L_3_Cylinder_Engine_Gasoline_Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,44955,1532.1
AUDI,RS_5_2.9T,2019,Gasoline,444.0HP_2.9L_V6_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,53955,34182.4
PORSCHE,Cayenne_Base,2019,Gasoline,335.0HP_3.0L_V6_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,38249.1,95495
LAMBORGHINI,Huracan_Tecnica_Coupe,2023,Gasoline,"5.2L_V-10_gasoline_direct_injection,_DOHC,_variable_valve_contro",Automatic,BLU ELEOS,Nero Ade,None reported,,323991.9,410.4
MASERATI,Quattroporte_S,2019,Gasoline,424.0HP_3.0L_V6_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,Black,Black,None reported,Yes,40499.1,37385
JAGUAR,XF_35t_R-Sport,2017,Gasoline,340.0HP_3.0L_V6_Cylinder_Engine_Gasoline_Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,27000,77248.3
LEXUS,ES_330_Base,2005,Gasoline,225.0HP_3.3L_V6_Cylinder_Engine_Gasoline_Fuel,5-Speed A/T,White,Beige,None reported,Yes,9990,66077.9
LAND,Rover_Discovery_Sport_SE_R-Dynamic,2020,Gasoline,2.0_Liter,Automatic,White,Black,None reported,,34198.2,34182.4
PORSCHE,Cayman_GTS,2015,Gasoline,340.0HP_3.4L_Flat_6_Cylinder_Engine_Gasoline_Fuel,7-Speed A/T,Silver,–,None reported,Yes,64800,18507.4
GENESIS,G90_3.3T_Premium,2021,Gasoline,365.0HP_3.3L_V6_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,Silver,Blue,None reported,Yes,48555,16012.9
VOLKSWAGEN,Golf_R_20th_Anniversary_Edition,2023,Gasoline,315.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,6-Speed M/T,White,Black,None reported,Yes,43199.1,1018.7
HYUNDAI,Sonata_Hybrid_Limited,2015,Hybrid,199.0HP_2.4L_4_Cylinder_Engine_Gas/Electric_Hybrid,A/T,White,Gray,At least 1 accident or damage reported,Yes,14310,106216.4
AUDI,RS_7_4.0T_Prestige,2014,Gasoline,560.0HP_4.0L_8_Cylinder_Engine_Gasoline_Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,40500,96101.7
BMW,740_Li,2012,Gasoline,326.0HP_3.0L_Straight_6_Cylinder_Engine_Gasoline_Fuel,6-Speed A/T,Black,Black,None reported,Yes,16650,137199.5
MERCEDES-BENZ,GLS_450_Base_4MATIC,2020,Hybrid,362.0HP_3.0L_Straight_6_Cylinder_Engine_Gasoline/Mild_Electric_Hybrid,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,72000,28807.2
BMW,M6_Base,2016,Gasoline,560.0HP_4.4L_8_Cylinder_Engine_Gasoline_Fuel,7-Speed A/T,White,Black,None reported,Yes,49500,41038.2
SUBARU,Forester_2.5_X,2004,Gasoline,165.0HP_2.5L_4_Cylinder_Engine_Gasoline_Fuel,M/T,Green,Beige,,,2070,339092.8
HYUNDAI,Elantra_N_Base,2023,Gasoline,276.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,6-Speed M/T,White,Black,None reported,Yes,30600,6115.5
KIA,Niro_Plug-In_Hybrid_EX_Premium,2022,Hybrid,1.6L_I4_16V_GDI_DOHC_Hybrid,6-Speed Automatic with Auto-Shift,Horizon Blue,Charcoal,None reported,Yes,28795.5,58905.1
RIVIAN,R1S_Adventure_Package,2023,,835.0HP_Electric_Motor_Electric_Fuel_System,1-Speed A/T,White,Green,None reported,Yes,82800,4506.2
ASTON,Martin_DBS_Superleggera,2021,Gasoline,5.2L_V12_48V_GDI_DOHC_Twin_Turbo,8-Speed Automatic,Black,Black,None reported,Yes,251955,3484.2
MERCEDES-BENZ,SLC_300_Base,2018,Gasoline,241.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,9-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,26910,53108.2
BMW,435_Gran_Coupe_i,2016,Gasoline,300.0HP_3.0L_Straight_6_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,White,Beige,None reported,Yes,22455,122324.3
JEEP,Grand_Cherokee_Summit,2020,Gasoline,5.7L_V8_16V_MPFI_OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,,35429.4,50451.2
LEXUS,RC_350_Base,2015,Gasoline,306.0HP_3.5L_V6_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Orange,Red,None reported,Yes,29610,77248.3
BMW,525_i,2005,Gasoline,215.0HP_2.5L_Straight_6_Cylinder_Engine_Gasoline_Fuel,6-Speed A/T,Black,Black,None reported,Yes,8010,147125.9
TOYOTA,Corolla_LE,2003,Gasoline,130.0HP_1.8L_4_Cylinder_Engine_Gasoline_Fuel,M/T,Beige,Beige,At least 1 accident or damage reported,Yes,4495.5,200774.8
CADILLAC,CT5-V_Blackwing,2023,Gasoline,6.2L_V8_16V_GDI_OHV_Supercharged,10-Speed Automatic,Rift Metallic,Gray,None reported,,94410,3886.6
GMC,Acadia_SLT-1,2012,Gasoline,288.0HP_3.6L_V6_Cylinder_Engine_Gasoline_Fuel,6-Speed A/T,Black,Black,None reported,Yes,7110,187047.2
LEXUS,LC_500_Base,2020,Gasoline,5.0L_V8_32V_PDI_DOHC,10-Speed Automatic,Atomic Silver,Rioja Red,None reported,,68355,60944.1
BMW,i8_Base,2019,Plug-In Hybrid,369.0HP_1.5L_3_Cylinder_Engine_Plug-In_Electric/Gas,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,77400,66787.6
LEXUS,ES_300h_Base,2013,Hybrid,200.0HP_2.5L_4_Cylinder_Engine_Gas/Electric_Hybrid,CVT Transmission,Gold,Beige,None reported,Yes,16195.5,140014.2
CADILLAC,CT5-V_V-Series,2022,Gasoline,3.0L_V6_24V_GDI_DOHC_Twin_Turbo,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,50089.5,7163.2
BMW,540_i_xDrive,2020,Gasoline,2.0_Liter_Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,,35998.2,43706.5
