brand,model,model_year,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,milage
NISSAN,Armada_SL,2021,Gasoline,400.0HP_5.6L_8_Cylinder_Engine_Gasoline_Fuel,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,32850,109113.3
PORSCHE,Cayman_Base,2014,Gasoline,275.0HP_2.7L_Flat_6_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Red,Black,At least 1 accident or damage reported,Yes,38699.1,127137.9
MERCEDES-BENZ,GLE_450_GLE_450,2022,Hybrid,3.0_Liter_Turbo,Automatic,Selenite Grey Metallic,Black,None reported,,57598.2,40082.2
CHEVROLET,Monte_Carlo_SS,2006,Gasoline,303.0HP_5.3L_8_Cylinder_Engine_Gasoline_Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,10800,107568.3
BMW,M5_Base,2013,Gasoline,560.0HP_4.4L_8_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Blue,White,None reported,Yes,28800,138403.2
HYUNDAI,Kona_N_Base,2023,Gasoline,2.0L_I4_16V_GDI_DOHC_Turbo,8-Speed Automatic with Auto-Shift,Ultra Black,Black,None reported,Yes,31139.1,1052.5
CHEVROLET,Monte_Carlo_SS,2005,Gasoline,240.0HP_3.8L_V6_Cylinder_Engine_Gasoline_Fuel,A/T,Black,Black,None reported,Yes,11250,120700.5
LAND,Rover_Range_Rover_Evoque_Pure,2015,Gasoline,240.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,9-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,20520,135184.6
AUDI,S7_4.0T_Premium_Plus,2017,Gasoline,450.0HP_4.0L_8_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,35999.1,84490.4
GMC,Acadia_SLT-1,2011,Gasoline,288.0HP_3.6L_V6_Cylinder_Engine_Gasoline_Fuel,6-Speed A/T,Silver,Gray,None reported,Yes,6750,193120.8
